term,rr,lo,hi,p,disease,theta,n,resid_acf1
same month,1.0165974652572,1.00079220411626,1.03265233493696,0.039489100401833,Campylobacteriosis,86.8740226461059,164,0.42555088924044
previous month,1.02118273713817,1.00778652295159,1.03475702331763,0.00186294281032539,Campylobacteriosis,86.8740226461059,164,0.42555088924044
both months (sum),1.03813178213908,1.01371077419899,1.06314110939468,0.00206160038807229,Campylobacteriosis,86.8740226461059,164,0.42555088924044
same month,1.00748422236455,0.988439558077476,1.02689582789234,0.443800861538397,Salmonellosis,75.3778485938403,164,0.311128116108864
previous month,1.0080797733731,0.990572893622262,1.02589606078146,0.367953061920654,Salmonellosis,75.3778485938403,164,0.311128116108864
both months (sum),1.01562446655823,0.988910862006651,1.04305968990839,0.2542742644309,Salmonellosis,75.3778485938403,164,0.311128116108864
