disease,year,cases,inc_100k,tmean,anom,ref_cases,ref_inc,ratio_to_2023_25
Campylobacteriosis,2013,4670,57.1143925456301,10.3464285714286,-1.85522959183673,5155,56.8523500733711,1.00460917573189
Campylobacteriosis,2014,5104,61.6826803154905,11.7392857142857,-0.462372448979592,5155,56.8523500733711,1.08496271897091
Campylobacteriosis,2015,4341,51.9083524018704,12.1857142857143,-0.0159438775510211,5155,56.8523500733711,0.913037936600331
Campylobacteriosis,2016,5409,63.9561281534663,11.6178571428571,-0.583801020408163,5155,56.8523500733711,1.1249513533025
Campylobacteriosis,2017,4874,57.1915096540301,12.0821428571429,-0.119515306122449,5155,56.8523500733711,1.00596562112597
Campylobacteriosis,2018,5052,58.8611897719945,12.4928571428571,0.291198979591836,5155,56.8523500733711,1.03533432999746
Campylobacteriosis,2019,4758,55.0389946302856,11.9142857142857,-0.287372448979592,5155,56.8523500733711,0.968104125146185
Campylobacteriosis,2020,4037,46.3524566400153,12.6303571428571,0.428698979591837,5155,56.8523500733711,0.815312939222299
Campylobacteriosis,2021,4413,50.2728438127663,11.0839285714286,-1.11772959183673,5155,56.8523500733711,0.884270285184103
Campylobacteriosis,2022,5259,59.3897592134307,12.9410714285714,0.739413265306122,5155,56.8523500733711,1.04463156117179
Campylobacteriosis,2023,4208,46.7437501617647,12.5482142857143,0.346556122448979,5155,56.8523500733711,0.822195566259606
Campylobacteriosis,2024,5712,62.8250484083936,12.9482142857143,0.746556122448979,5155,56.8523500733711,1.10505631389581
Campylobacteriosis,2025,5545,60.9882516499549,12.6339285714286,0.432270408163265,5155,56.8523500733711,1.07274811984458
Campylobacteriosis,2026,6871,75.5746411496937,13.6589285714286,1.45727040816327,5155,56.8523500733711,1.32931428607895
Salmonellosis,2013,801,9.7962801775267,10.3464285714286,-1.85522959183673,1305.66666666667,14.4018153152788,0.680211484668454
Salmonellosis,2014,806,9.74064269872361,11.7392857142857,-0.462372448979592,1305.66666666667,14.4018153152788,0.676348257874811
Salmonellosis,2015,820,9.80530959906328,12.1857142857143,-0.0159438775510211,1305.66666666667,14.4018153152788,0.680838448793387
Salmonellosis,2016,931,11.0081633039152,11.6178571428571,-0.583801020408163,1305.66666666667,14.4018153152788,0.764359427122819
Salmonellosis,2017,1145,13.4354285092049,12.0821428571429,-0.119515306122449,1305.66666666667,14.4018153152788,0.932898264217515
Salmonellosis,2018,934,10.8820964463664,12.4928571428571,0.291198979591836,1305.66666666667,14.4018153152788,0.755605887739831
Salmonellosis,2019,971,11.2322118087447,11.9142857142857,-0.287372448979592,1305.66666666667,14.4018153152788,0.779916389903187
Salmonellosis,2020,739,8.48512892171694,12.6303571428571,0.428698979591837,1305.66666666667,14.4018153152788,0.589170791040147
Salmonellosis,2021,957,10.9021326827141,11.0839285714286,-1.11772959183673,1305.66666666667,14.4018153152788,0.75699711765836
Salmonellosis,2022,1161,13.1111447892742,12.9410714285714,0.739413265306122,1305.66666666667,14.4018153152788,0.91038140000064
Salmonellosis,2023,1125,12.4968438526581,12.5482142857143,0.346556122448979,1305.66666666667,14.4018153152788,0.867726989902464
Salmonellosis,2024,1316,14.4743984078162,12.9482142857143,0.746556122448979,1305.66666666667,14.4018153152788,1.00503985719497
Salmonellosis,2025,1476,16.2342036853622,12.6339285714286,0.432270408163265,1305.66666666667,14.4018153152788,1.12723315290257
Salmonellosis,2026,1613,17.7415072295817,13.6589285714286,1.45727040816327,1305.66666666667,14.4018153152788,1.23189381624411
