month,tmean,tmean_zh,precip,cal,clim,clim_zh,clim_p,anom0,anom0_zh,panom0,anom1,anom1_zh,tmean1
2012-12-01,2.34285714285714,2,118.571428571429,12,3.2043956043956,2.59230769230769,73.9241758241758,-0.861538461538462,-0.592307692307692,44.6472527472528,,,
2013-01-01,1.3,0.6,55.5,1,2.23877551020408,1.62142857142857,76.3836734693878,-0.938775510204082,-1.02142857142857,-20.8836734693878,-0.861538461538462,-0.592307692307692,2.34285714285714
2013-02-01,-0.271428571428571,-1.3,64.5142857142857,2,3.87551020408163,3.22142857142857,62.1826530612245,-4.1469387755102,-4.52142857142857,2.33163265306123,-0.938775510204082,-1.02142857142857,1.3
2013-03-01,3.4,2.5,75.4714285714286,3,6.76428571428571,6.27857142857143,64.3397959183674,-3.36428571428571,-3.77857142857143,11.1316326530612,-4.1469387755102,-4.52142857142857,-0.271428571428571
2013-04-01,9.5,8.8,124.314285714286,4,10.5540816326531,10.1142857142857,79.6989795918367,-1.05408163265306,-1.31428571428571,44.615306122449,-3.36428571428571,-3.77857142857143,3.4
2013-05-01,11.5142857142857,10.9,178.957142857143,5,13.965306122449,13.4214285714286,133.613265306122,-2.45102040816326,-2.52142857142857,45.3438775510204,-1.05408163265306,-1.31428571428571,9.5
2013-06-01,16.8571428571429,16.1,106.428571428571,6,19.1612244897959,18.5857142857143,118.576530612245,-2.30408163265306,-2.48571428571428,-12.1479591836735,-2.45102040816326,-2.52142857142857,11.5142857142857
2013-07-01,21.1142857142857,20.7,98.6857142857143,7,20.8571428571429,20.0928571428571,114.829591836735,0.257142857142856,0.607142857142858,-16.1438775510204,-2.30408163265306,-2.48571428571428,16.8571428571429
2013-08-01,19.3571428571429,18.7,84,8,20.1969387755102,19.5857142857143,122.331632653061,-0.839795918367347,-0.885714285714286,-38.3316326530612,0.257142857142856,0.607142857142858,21.1142857142857
2013-09-01,15.4714285714286,14.7,105.285714285714,9,15.8703296703297,15.2538461538462,96.8901098901099,-0.398901098901099,-0.553846153846155,8.39560439560439,-0.839795918367347,-0.885714285714286,19.3571428571429
2013-10-01,12.0428571428571,11.3,133.771428571429,10,11.578021978022,10.9538461538462,98.5648351648352,0.464835164835165,0.346153846153847,35.2065934065934,-0.398901098901099,-0.553846153846155,15.4714285714286
2013-11-01,5.02857142857143,4,117.785714285714,11,6.16703296703297,5.56153846153846,91.5,-1.13846153846154,-1.56153846153846,26.2857142857143,0.464835164835165,0.346153846153847,12.0428571428571
2013-12-01,2.08571428571429,1.7,77.4285714285714,12,3.2043956043956,2.59230769230769,73.9241758241758,-1.11868131868132,-0.892307692307693,3.50439560439561,-1.13846153846154,-1.56153846153846,5.02857142857143
2014-01-01,3.45714285714286,3.1,84.3,1,2.23877551020408,1.62142857142857,76.3836734693878,1.21836734693878,1.47857142857143,7.91632653061224,-1.11868131868132,-0.892307692307693,2.08571428571429
2014-02-01,4.44285714285714,4.1,106.485714285714,2,3.87551020408163,3.22142857142857,62.1826530612245,0.56734693877551,0.878571428571428,44.3030612244898,1.21836734693878,1.47857142857143,3.45714285714286
2014-03-01,7.68571428571429,7.3,42.8142857142857,3,6.76428571428571,6.27857142857143,64.3397959183674,0.921428571428572,1.02142857142857,-21.5255102040816,0.56734693877551,0.878571428571428,4.44285714285714
2014-04-01,11.3571428571429,10.9,88.1428571428572,4,10.5540816326531,10.1142857142857,79.6989795918367,0.803061224489797,0.785714285714287,8.44387755102041,0.921428571428572,1.02142857142857,7.68571428571429
2014-05-01,13.2285714285714,12.6,117.3,5,13.965306122449,13.4214285714286,133.613265306122,-0.736734693877549,-0.821428571428571,-16.3132653061225,0.803061224489797,0.785714285714287,11.3571428571429
2014-06-01,18.3714285714286,18,112.214285714286,6,19.1612244897959,18.5857142857143,118.576530612245,-0.78979591836735,-0.585714285714285,-6.36224489795919,-0.736734693877549,-0.821428571428571,13.2285714285714
2014-07-01,18.2428571428571,17.6,246.514285714286,7,20.8571428571429,20.0928571428571,114.829591836735,-2.61428571428571,-2.49285714285714,131.684693877551,-0.78979591836735,-0.585714285714285,18.3714285714286
2014-08-01,17.1285714285714,16.4,142.128571428571,8,20.1969387755102,19.5857142857143,122.331632653061,-3.06836734693878,-3.18571428571429,19.7969387755102,-2.61428571428571,-2.49285714285714,18.2428571428571
2014-09-01,15.8428571428571,15.2,50.7857142857143,9,15.8703296703297,15.2538461538462,96.8901098901099,-0.0274725274725292,-0.0538461538461554,-46.1043956043956,-3.06836734693878,-3.18571428571429,17.1285714285714
2014-10-01,13.0571428571429,12.4,103.642857142857,10,11.578021978022,10.9538461538462,98.5648351648352,1.47912087912088,1.44615384615385,5.07802197802198,-0.0274725274725292,-0.0538461538461554,15.8428571428571
