disease,year,term,rr,lo,hi,p,observed,expected,excess_cases
Campylobacteriosis,2013,January,2.16869567445344,1.67945971046617,2.80044879855295,2.93974130046269e-09,810,373.496387502197,436.503612497803
Campylobacteriosis,2014,January,2.13390649705704,1.66041270939685,2.74242476729555,3.19356037949083e-09,779,365.058169640681,413.941830359319
Campylobacteriosis,2015,January,1.83879255686608,1.423198228123,2.37574640016619,3.16508467877859e-06,619,336.633949103526,282.366050896474
Campylobacteriosis,2016,January,1.92204583650433,1.49739233875607,2.46712908968973,2.90586506582492e-07,817,425.067906541655,391.932093458345
Campylobacteriosis,2017,January,1.61021447421379,1.18969009730539,2.17938323504598,0.00203712439656751,537,333.495946409373,203.504053590627
Campylobacteriosis,2018,January,1.53360745730423,1.19066990299149,1.97531811897656,0.000928262567864582,556,362.543881324974,193.456118675027
Campylobacteriosis,2019,January,1.65352274746479,1.26448346796726,2.16225640401515,0.000238190315333663,604,365.280732258486,238.719267741514
Campylobacteriosis,2020,January,2.05929782078163,1.59355463763859,2.66116229372597,3.35116269735946e-08,590,286.505426289461,303.494573710539
Campylobacteriosis,2021,January,1.56451571609131,1.20163084394415,2.03698951157288,0.000886673586210696,539,344.515554849525,194.484445150475
Campylobacteriosis,2022,January,1.94692552428975,1.50501481514383,2.51859248094422,3.93070744661953e-07,680,349.268624565426,330.731375434574
Campylobacteriosis,2023,January,1.77633234710472,1.37760890342231,2.29045892454083,9.42208818096178e-06,575,323.700686381805,251.299313618195
Campylobacteriosis,2024,January,1.70387774541202,1.3222848227507,2.19559305329615,3.79589183306545e-05,716,420.21794223673,295.78205776327
Campylobacteriosis,2025,January,1.25614109452454,0.972699314874977,1.62217699264662,0.080490916991705,524,417.150591031605,106.849408968396
Campylobacteriosis,2026,January,1.57685952018663,1.20194338581867,2.06872135222044,0.00100933696057349,740,469.287206962112,270.712793037888
Salmonellosis,2013,January,1.27089351726972,0.830432100892466,1.94497579091942,0.26952459650855,87,68.455774475035,18.544225524965
Salmonellosis,2014,January,1.55692987332054,1.03125278464708,2.35056880963232,0.0351676179466274,96,61.6598098893538,34.3401901106462
Salmonellosis,2015,January,1.01167380697324,0.656397666918643,1.55924364649301,0.958062293892269,71,70.1807237773806,0.819276222619394
Salmonellosis,2016,January,1.01288679761288,0.668840270397116,1.53390833385277,0.951779706916296,87,85.8931128385097,1.10688716149031
Salmonellosis,2017,January,0.947726293279407,0.576735622964084,1.55736023787984,0.832209196053692,81,85.4677142276137,-4.46771422761368
Salmonellosis,2018,January,1.63048588221934,1.089903012591,2.43919337904814,0.017363751953085,109,66.8512381423593,42.1487618576407
Salmonellosis,2019,January,1.12674429898551,0.728800646260886,1.7419752874943,0.591382981956801,94,83.4262042280892,10.5737957719108
Salmonellosis,2020,January,1.33444913191261,0.876688153177258,2.03122909692411,0.178293682467896,87,65.1954412644466,21.8045587355534
Salmonellosis,2021,January,0.818622689674921,0.523371072657807,1.28043589541059,0.380549708195419,65,79.4016594211575,-14.4016594211575
Salmonellosis,2022,January,0.941536863611247,0.614277392590728,1.44314551736978,0.782182244673079,82,87.0916510751268,-5.09165107512683
Salmonellosis,2023,January,1.31535858177789,0.879673340625273,1.96683032070397,0.181742053306858,114,86.6683819752886,27.3316180247114
Salmonellosis,2024,January,0.74075404951131,0.487709023657717,1.12509003370933,0.159346115508853,87,117.447889832523,-30.4478898325234
Salmonellosis,2025,January,1.31061234535374,0.88460290190067,1.94178056176727,0.177449298093593,147,112.161311863977,34.8386881360228
Salmonellosis,2026,January,1.06848212846133,0.693273286482933,1.64675905029173,0.764075668540577,122,114.18066502964,7.8193349703602
