parameter_shortname;parameter_description_de;parameter_description_fr;parameter_description_it;parameter_description_en;parameter_group_de;parameter_group_fr;parameter_group_it;parameter_group_en;parameter_granularity;parameter_decimals;parameter_datatype;parameter_unit
thl200yn;"Lufttemperatur 2 m über Boden; absolutes Jahresminimum, homogen";"Température de l'air à 2 m du sol; minimum annuel absolu, homogène";"Temperatura dell'aria a 2 m dal suolo; minima annuale assoluta, omogeneo";"Air temperature 2 m above ground; absolute annual minimum, homogeneous";Temperatur;Température;Temperatura;Temperature;Y;1;Float;°C
thl200yx;"Lufttemperatur 2 m über Boden; absolutes Jahresmaximum, homogen";"Température de l'air à 2 m du sol; maximum annuel absolu, homogène";"Temperatura dell'aria a 2 m dal suolo; massima annuale assoluta, omogeneo";"Air temperature 2 m above ground; absolute annual maximum, homogeneous";Temperatur;Température;Temperatura;Temperature;Y;1;Float;°C
ths00nm0;"Frosttage (Minimum tiefer als 0 Grad C); Monatssumme, homogen";"Jours de gel (température minimale < 0 degré C); somme mensuelle, homogène";"Giorni di gelo (minima < 0 gradi C); somma mensile, omogeneo";"Frost days (minimum lower than 0 degrees C); monthly total, homogeneous";Temperatur;Température;Temperatura;Temperature;M;0;Integer;No
ths00ny0;"Frosttage (Minimum tiefer als 0 Grad C); Jahressumme, homogen";"Jours de gel (température minimale < 0 degré C); somme annuelle, homogène";"Giorni di gelo (minima < 0 gradi C); somma annuale, omogeneo";"Frost days (minimum lower than 0 degrees C); annual total, homogeneous";Temperatur;Température;Temperatura;Temperature;Y;0;Integer;No
ths00xm0;"Eistage (Maximum tiefer als 0 Grad C); Monatssumme, homogen";"Jours d'hiver (température maximale < 0 degré C); somme mensuelle, homogène";"Giorni di ghiaccio (massima < 0 gradi C); somma mensile, omogeneo";"Ice days (maximum lower than 0 degrees C); monthly total, homogeneous";Temperatur;Température;Temperatura;Temperature;M;0;Integer;No
ths00xy0;"Eistage (Maximum tiefer als 0 Grad C); Jahressumme, homogen";"Jours d'hiver (température maximale < 0 degré C); somme annuelle, homogène";"Giorni di ghiaccio (massima < 0 gradi C); somma annuale, omogeneo";"Ice days (maximum lower than 0 degrees C); annual total, homogeneous";Temperatur;Température;Temperatura;Temperature;Y;0;Integer;No
ths200d0;"Lufttemperatur 2 m über Boden; homogenes Tagesmittel (statistisch abgeleitet)";"Température de l'air à 2 m du sol; moyenne journalière homogène (statistiquement dérivée)";"Temperatura dell'aria a 2 m dal suolo; media giornaliera omogenea (derivata statisticamente)";"Air temperature 2 m above ground; homogeneous daily mean (statistically derived)";Temperatur;Température;Temperatura;Temperature;D;1;Float;°C
ths200dn;"Lufttemperatur 2 m über Boden; homogenes Tagesminimum (statistisch abgeleitet)";"Température de l'air à 2 m du sol; minimum journalier homogène (statistiquement dérivé)";"Temperatura dell'aria a 2 m dal suolo; minima giornaliera omogenea (derivata statisticamente)";"Air temperature 2 m above ground; homogeneous daily minimum (statistically derived)";Temperatur;Température;Temperatura;Temperature;D;1;Float;°C
ths200dx;"Lufttemperatur 2 m über Boden; homogenes Tagesmaximum (statistisch abgeleitet)";"Température de l'air à 2 m du sol; maximum journalier homogène (statistiquement dérivé)";"Temperatura dell'aria a 2 m dal suolo; massima giornaliera omogenea (derivata statisticamente)";"Air temperature 2 m above ground; homogeneous daily maximum (statistically derived)";Temperatur;Température;Temperatura;Temperature;D;1;Float;°C
ths200m0;"Lufttemperatur 2 m über Boden; homogenes Monatsmittel";"Température de l'air à 2 m du sol; moyenne mensuelle homogène";"Temperatura dell'aria a 2 m dal suolo; media mensile omogenea";"Air temperature 2 m above ground; homogeneous monthly mean";Temperatur;Température;Temperatura;Temperature;M;1;Float;°C
